feature,importance
Shipping Mode_First Class,0.13733633
Shipping Mode_Standard Class,0.11761529
Days for shipment (scheduled),0.10821627
Shipping Mode_Same Day,0.042559035
Shipping Mode_Second Class,0.022495229
Order State_Illinois,0.0034046925
Order Region_Southern Africa,0.0030613437
Order Country_Cuba,0.0029884467
Order Country_Pakistán,0.0028688353
Order Country_China,0.0026601716
Order City_Tegucigalpa,0.00262573
Order Region_Canada,0.0025400014
Order State_Aquitania-Lemosín-Poitou-Charentes,0.0024763
Order Region_West Africa,0.002461602
Order State_Guatemala,0.0023745908
Order City_Seattle,0.0023652539
Customer City_Bakersfield,0.0022890288
Order Region_Southern Europe,0.002258302
Order State_Nueva York,0.002250021
Order State_Cortés,0.002240774
Order Country_República Democrática del Congo,0.0022121766
Order Country_Italia,0.002207324
Order Region_Northern Europe,0.002206414
Order Country_México,0.00219559
Category Name_Books ,0.002188461
Customer State_KY,0.00218385
Order Country_Egipto,0.0021826783
Customer City_San Francisco,0.0021711572
Customer City_Virginia Beach,0.0021700268
Order Country_Marruecos,0.0021683737
Order Region_South Asia,0.0021460801
Order State_Jalisco,0.0021010286
Order State_Viena,0.0020941147
Order State_Florida,0.002091771
Order Country_Chile,0.0020834731
Order City_Philadelphia,0.0020813225
Order Region_Oceania,0.0020788442
Order City_Los Angeles,0.002074519
Customer City_Philadelphia,0.0020738472
Order City_Puebla,0.0020685338
Order State_Panamá,0.0020681613
Customer City_Atlanta,0.002066143
Order State_Alsacia-Champaña-Ardenas-Lorena,0.0020652518
Order State_Provenza-Alpes-Costa Azul,0.002051086
Order State_Inglaterra,0.002043271
Order Country_Suecia,0.0020425334
Order State_Lagos,0.0020384744
Order Country_Vietnam,0.0020350758
Order Country_Argentina,0.002031963
Order City_San Salvador,0.0020309081
Order State_Texas,0.0020139078
Order State_Queensland,0.0020138
Order Country_El Salvador,0.0020097648
Order City_Ho Chi Minh City,0.0019981768
Order Country_Venezuela,0.0019976452
Order City_Estocolmo,0.0019970378
Customer State_CO,0.001988678
Order State_Santiago de Chile,0.001984863
Order City_Brisbane,0.0019827865
Order City_Santo Domingo,0.0019816766
Order State_Victoria,0.0019787683
Order City_San Miguelito,0.0019640042
Order State_Norte-Paso de Calais-Picardía,0.0019589944
Order Country_Guatemala,0.0019549623
Order City_Berlín,0.0019499005
Order State_San Salvador,0.0019453784
Order State_Ohio,0.0019279082
Order State_Francisco Morazán,0.0019274439
Order Region_West of USA ,0.0019270543
Customer State_NJ,0.0019258419
Customer State_NV,0.0019255062
Customer City_Caguas,0.0019234099
Customer City_Bronx,0.0019175982
Category Name_Golf Shoes,0.0019166023
Order State_Nueva Gales del Sur,0.0019163805
Order City_San Francisco,0.0019153451
Order State_Distrito Federal,0.0019102966
Order City_Soyapango,0.0019077924
Order City_Mixco,0.001906355
Order Region_West Asia,0.0018998543
Customer State_MA,0.0018929287
Order Country_Other,0.0018873586
Order City_Panama City,0.0018859048
Order Country_Brasil,0.0018734494
Order City_Melbourne,0.0018724027
Order State_Santo Domingo,0.0018573548
Order Region_Eastern Europe,0.0018548174
Order Country_Honduras,0.0018540742
Order City_Lagos,0.0018531614
Customer City_Corona,0.0018524661
Order City_London,0.0018484727
Order State_Guangdong,0.0018472632
Customer State_WI,0.0018446002
Customer City_Sacramento,0.0018434987
Order State_Guanajuato,0.0018365338
Customer State_HI,0.0018356423
Order City_Chicago,0.0018333985
Customer City_Tucson,0.0018308026
Order City_Buenos Aires,0.0018288671
Order State_Lacio,0.0018280959
Order State_Languedoc-Rosellón-Mediodía-Pirineos,0.0018268187
Customer State_TN,0.0018219479
Order Region_Central Asia,0.0018213596
Customer State_TX,0.0018209339
Order Country_SudAfrica,0.0018161894
Order State_Bavaria,0.0018153099
Customer City_Miami,0.001805289
Order Country_Irak,0.0018047283
Order City_Bangkok,0.0018024773
Order State_Santiago de Cuba,0.0017989876
Order State_São Paulo,0.0017966805
Order Country_Arabia Saudí,0.0017965133
Order Region_Central America,0.0017933617
Order City_Houston,0.001792683
Customer State_OH,0.0017892701
Order Country_Rusia,0.0017870719
Order Country_Irán,0.001784169
Order Region_South America,0.0017825419
Customer City_Newark,0.0017780062
Order Country_Reino Unido,0.0017741474
Order City_Rome,0.0017650496
Order Country_España,0.0017609698
Customer City_Aurora,0.0017587477
Order Country_Nicaragua,0.0017578256
Order City_San Pedro Sula,0.0017548008
Order Country_Turquía,0.0017511845
Order City_Viena,0.001745202
Customer City_Cleveland,0.0017410741
Order Country_Austria,0.0017405029
Customer State_GA,0.0017390526
Order Country_Polonia,0.0017364867
Customer State_SC,0.0017331573
Customer State_PA,0.0017287297
Customer City_San Antonio,0.0017236687
Customer State_UT,0.0017235257
Order City_Villa Nueva,0.001721184
Order Country_Australia,0.001717929
Order Country_Panamá,0.0017171493
Customer City_Portland,0.0017048228
Department Name_Technology,0.0016996944
Order Country_Nigeria,0.0016982091
Order Country_Nueva Zelanda,0.0016959613
Customer City_Las Vegas,0.0016928258
Customer State_OK,0.0016890274
Order Country_Perú,0.0016839836
Order Country_Francia,0.0016764664
Order City_Managua,0.001676123
Customer State_NM,0.0016754878
Order Region_South of  USA ,0.0016742982
Order Region_Caribbean,0.0016718683
Order City_Hamburgo,0.0016716291
Order State_Baden-Wurtemberg,0.0016698586
Order State_Java Occidental,0.0016640844
Order Country_Canada,0.0016630003
Order City_Estambul,0.0016596371
Order Country_Colombia,0.0016579777
Order Region_East Africa,0.0016569877
Department Name_Footwear,0.0016527456
Customer City_Hialeah,0.0016513182
Order City_Manila,0.0016503701
Customer State_CA,0.0016500547
Customer State_AZ,0.0016500482
Order Zipcode,0.0016485088
Customer City_El Paso,0.0016445324
Order Region_US Center ,0.001639155
Customer City_San Diego,0.001634201
Customer State_VA,0.001633143
Order City_Santiago de Cuba,0.0016210303
Order City_Perth,0.0016184988
Longitude,0.0016160556
Customer City_Lancaster,0.0016156678
Order State_Buenos Aires,0.0016149455
Order Region_North Africa,0.0016141653
Customer Segment_Home Office,0.0016123209
Customer Segment_Corporate,0.0016110984
Customer City_Ontario,0.0016058724
Order Country_República Dominicana,0.0016030018
Customer State_MD,0.0016014143
Order State_México,0.0015937896
Product Name_Diamondback Women's Serene Classic Comfort Bi,0.0015926105
Customer Zipcode,0.0015919636
Customer City_Brooklyn,0.0015915392
Latitude,0.0015798765
Customer State_MT,0.0015779812
Order State_Renania del Norte-Westfalia,0.0015764459
Order City_Guadalajara,0.0015687522
Customer State_NY,0.0015682089
Customer City_Orlando,0.0015656216
Customer City_Los Angeles,0.0015610805
Type_CASH,0.0015475068
Customer City_Chicago,0.001546412
Customer City_Escondido,0.0015414681
Customer State_CT,0.0015396256
Market_USCA,0.0015352233
Customer State_FL,0.0015327241
Department Name_Discs Shop,0.0015307677
Order State_Madrid,0.0015281109
Order State_Pensilvania,0.0015249219
Order Region_Central Africa,0.0015223183
Order City_Columbus,0.0015118172
Order State_Australia Occidental,0.0015078918
Customer State_AR,0.0015065413
Order Region_Eastern Asia,0.0015042097
Category Name_Pet Supplies,0.0014966576
Customer City_Santa Ana,0.0014934042
Product Name_Team Golf St. Louis Cardinals Putter Grip,0.0014929399
Order City_Paris,0.0014887798
Order State_Other,0.001486576
Order State_Managua,0.0014818624
Order Country_Estados Unidos,0.0014784414
Customer City_Honolulu,0.0014783207
Category Name_Cardio Equipment,0.0014763678
Order State_California,0.0014735278
Order Region_Southeast Asia,0.0014728099
Customer State_MI,0.0014710141
Market_Africa,0.0014701828
Order Region_East of USA,0.0014689506
Customer City_New Orleans,0.0014678425
Type_DEBIT,0.0014655538
Customer State_LA,0.0014654809
Order City_Gold Coast,0.0014570643
